legacy_p_code,accepted_instruments,apply_func,seabird_name,variable_name,long_name,units,sdn_uom_urn,sdn_uom_name,instrument,comments,sdn_parameter_urn,sdn_parameter_name,bodc_alternative_label,definition,standard_name,coverage_content_type
oxypsat,,,oxsatML/L,OXYSZZ01,"Oxygen Saturation, Weiss",ml/l,SDN:P06::UMLL,Millilitres per litre,Weiss,,SDN:P01::OXYSZZ01,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase],O2Sat,Computed (algorithm/data source unspecified),,physicalMeasurement
sbeox0V,,,sbeox0V,,"Oxygen raw, SBE 43",V,SDN:P06::UVLT,Volts,SBE 43,1st sensor,,,,,,physicalMeasurement
sbeox1V,,,sbeox1V,,"Oxygen raw, SBE 43, 2",V,SDN:P06::UVLT,Volts,SBE 43,2nd sensor,,,,,,physicalMeasurement
par,,,par,DWIRRXUD,"Par/Irradiance, Biospherical/Licor",µeinsteins/s/m^2,,downwelling_photon_spherical_irradiance_in_sea_water,Biospherical/Licor,"Biospherical, Licor, or Chelsea sensor; 1st sensor",SDN:P01::DWIRRXUD,Downwelling vector irradiance as energy of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SubSurDWVectPAR,,downwelling_photon_spherical_irradiance_in_sea_water,physicalMeasurement
par,Biospherical/Licor,,par,DWIRRXUD,"Par/Irradiance, Biospherical/Licor",µeinsteins/s/m^2,,downwelling_photon_spherical_irradiance_in_sea_water,Biospherical/Licor,"Biospherical, Licor, or Chelsea sensor; 1st sensor",SDN:P01::DWIRRXUD,Downwelling vector irradiance as energy of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SubSurDWVectPAR,,downwelling_photon_spherical_irradiance_in_sea_water,physicalMeasurement
par,Biospherical/Satlantic,,par,DWIRRXUD,"PAR/Logarithmic, Satlantic [umol photons/m^2/sec]",µeinsteins/s/m^2,,downwelling_photon_spherical_irradiance_in_sea_water,Biospherical/Licor,"Biospherical, Licor, or Chelsea sensor; 1st sensor",SDN:P01::DWIRRXUD,Downwelling vector irradiance as energy of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SubSurDWVectPAR,,downwelling_photon_spherical_irradiance_in_sea_water,physicalMeasurement
ph,,,ph,PHXXZZXX,pH,,SDN:P06::UUPH,pH units,,,SDN:P01::PHXXZZXX,pH (unspecified scale) of the water body,pH,Minus the log of the hydrogen ion concentration (moles per litre) in the water column.,sea_water_ph_reported_on_total_scale,physicalMeasurement
pH,,,ph,PHXXZZXX,pH,,SDN:P06::UUPH,pH units,,,SDN:P01::PHXXZZXX,pH (unspecified scale) of the water body,pH,Minus the log of the hydrogen ion concentration (moles per litre) in the water column.,sea_water_ph_reported_on_total_scale,physicalMeasurement
pres,,,prDM,PRESPR01,"Pressure, Strain Gauge",dbar,SDN:P06::UPBL,Decibar,Digiquartz,Digiquartz pressure sensor,SDN:P01::PRESPR01,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,Pres_Z,The force per unit area exerted by the water column on a mobile sensor located in the water column.,sea_water_pressure,physicalMeasurement
pres,,"-gsw.z_from_p(pres,latitude)",depth,depth,"Depth [salt water]",m,SDN:P06::ULAA,Metres,,,,,,,depth,coordinate
sal,,,sal00,PSALST01,"Salinity, Practical",PSU,SDN:P06::UUUU,Dimensionless,,1st sensor,SDN:P01::PSALST01,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,P_sal_CTD,This is the preferred term for this definition. Alternative term PSALST02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,sea_water_practical_salinity,physicalMeasurement
sal2,,,sal11,PSALST02,"Salinity, Practical, 2",PSU,SDN:P06::UUUU,Dimensionless,,2nd sensor,SDN:P01::PSALST02,Practical salinity of the water body by CTD (second sensor) and computation using UNESCO 1983 algorithm,P_sal_CTD2,This is the alternative term for this definition. Only use to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,sea_water_practical_salinity,physicalMeasurement
scan,,,scan,scan,Scan Count,,,,,,,,,,,physicalMeasurement
sig,,,sigma-t00,SIGTEQST,Density,kg/m^3,SDN:P06::UKMC,Kilograms per cubic metre,,1st sensor,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,Sigma-T,Computed by UNESCO SVAN function using in-situ temperature,sea_water_sigma_t,physicalMeasurement
sig2,,,sigma-t11,SIGTEQST2,Density 2 [sigma-t],kg/m^3,SDN:P06::UKMC,Kilograms per cubic metre,,2nd sensor,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,Sigma-T,Computed by UNESCO SVAN function using in-situ temperature,sea_water_sigma_t,physicalMeasurement
temp,,,t090C,TEMPS901,Temperature [ITS-90],degrees_celsius,SDN:P06::UPAA,Degrees Celsius,,1st sensor,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,CTDTmp90,,sea_water_temperature,physicalMeasurement
temp2,,,t190C,TEMPS902,"Temperature, 2",degrees_celsius,SDN:P06::UPAA,Degrees Celsius,,2nd sensor,SDN:P01::TEMPS902,Temperature (ITS-90) of the water body by CTD or STD (second sensor),CTDTmp90_2,,sea_water_temperature,physicalMeasurement
tra,,,CStarAt0,ATTNZS01,"Beam Attenuation, Wet Labs C-Star",1/m,SDN:P06::UPRM,per metre,WET Labs C-Star,1st sensor,SDN:P01::ATTNZS01,Attenuation (red light wavelength) per unit length of the water body by WET Labs transmissometer and calibration to read zero in clear water,RedPWCorr,WET Labs transmissometer calibrated to zero in clear water,volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water,physicalMeasurement
trp,,,CStarTr0,OPTCPS01,"Beam Transmission, Wet Labs C-Star",%,SDN:P06::UPCT,Percent,WET Labs C-Star,1st sensor,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,TransmRedLight,,,physicalMeasurement
wet,,,wetCDOM,CCOMD002,"Fluorescence, Wet Labs CDOM",mg/m^3,SDN:P06::UMMC,Milligrams per cubic metre,WET Labs CDOM,1st sensor,SDN:P01::CCOMD002,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ WET Labs FDOM ECO fluorometer,CDOM_fluor_WETLabs,Quantity or mass of the specified analyte in a unit volume of an unfiltered sample of fresh or salt water.,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,physicalMeasurement
sigt,,,,SIGTEQST,Sigma-T,kg/m^3,SDN:P06::UKMC,Kilograms per cubic metre,,,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,Sigma-T,	Computed by UNESCO SVAN function using in-situ temperature,sea_water_sigma_t,physicalMeasurement
sigmat,,,,SIGTEQST,Sigma-T,kg/m^3,SDN:P06::UKMC,Kilograms per cubic metre,,,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,Sigma-T,	Computed by UNESCO SVAN function using in-situ temperature,sea_water_sigma_t,physicalMeasurement
time,,,,time,Time,,,,,,,,,,time,coordinate
latitude,,,,latitude,Latitude,degrees_north,SDN:P06::DEGN,Degrees north,,,,,,,latitude,coordinate
longitude,,,,longitude,Longitude,degrees_east,SDN:P06::DEGN,Degrees east,,,,,,,longitude,coordinate
index,,,,index,index,,,,,,,,,,,auxiliaryInformation
scan,,,,scan,scan,,,,,,,,,,,auxiliaryInformation
flag,,,,flag,Flag,,,,,,,,,,,qualityInformation
